Attribute,Value
Revenue,322
Date,2018 May
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Supermarket
City,Twin Peaks
Revenue,241.5
Date,2018 May
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Supermarket
City,Van Alstyne
Revenue,2020.55
Date,2018 May
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Supermarket
City,Venersborg
Revenue,745.2
Date,2018 May
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Supermarket
City,Virgil
Revenue,1987.2
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Ashland
Revenue,209.3
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Beaver Bay
Revenue,284.05
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Biorka
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Bombay Beach
Revenue,119.6
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Claremont
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Conesus Lake
Revenue,119.6
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Copake
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Creelsboro
Revenue,194.35
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Darling
Revenue,59.8
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Drumright
Revenue,209.3
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Esopus
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Great Neck
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Greenfield
Revenue,209.3
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Greig
Revenue,254.15
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Greycliff
Revenue,89.7
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Humansville
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,La Bolt
Revenue,74.75
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Linden
Revenue,209.3
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Lompoc
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Madison Park
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,McCammon
Revenue,59.8
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Nitro
Revenue,14.95
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Orpha
Revenue,29.9
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Panton
Revenue,179.4
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Rail Road Flat
Revenue,134.55
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Red Mesa
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Roberta Mill
Revenue,59.8
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Saxapahaw
Revenue,224.25
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Sea Island
Revenue,209.3
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Shenorock
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Switz City
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Tolchester Beach
Revenue,134.55
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Wounded Knee
Revenue,119.6
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Wrangell
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Wright City
Revenue,29.9
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Computer Store
City,Wyndham
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Bowmansville
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Buchanan Lake Village
Revenue,463.45
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Capa
Revenue,119.6
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Chalco
Revenue,134.55
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Cherokee
Revenue,59.8
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Cypress Quarters
Revenue,194.35
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Dry Run
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Eagle Valley
Revenue,284.05
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Grantsburg
Revenue,89.7
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Grider
Revenue,89.7
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Haddon Heights
Revenue,134.55
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Iliamna
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Jones Creek
Revenue,134.55
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,La Paz
Revenue,29.9
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Makoti
Revenue,164.45
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Marguerite
Revenue,119.6
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,New Braintree
Revenue,14.95
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,New Zion
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Newberg
Revenue,29.9
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,North York
Revenue,164.45
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Oval
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Ridgeway
Revenue,269.1
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Schoharie
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Segundo
Revenue,373.75
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Sherwin
Revenue,29.9
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Corporate
City,Tenstrike
Revenue,74.75
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Abbottsburg
Revenue,74.75
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Argusville
Revenue,209.3
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Corryton
Revenue,313.95
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Dennis Acres
Revenue,29.9
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Gassaway
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Gresston
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Hanaford
Revenue,403.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Jolley
Revenue,373.75
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Marcella
Revenue,29.9
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,McQueen
Revenue,134.55
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Meadowdale
Revenue,14.95
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Nehawka
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,North Muskegon
Revenue,119.6
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Palatine Bridge
Revenue,179.4
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Pharr
Revenue,89.7
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Scioto Furnace
Revenue,89.7
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Seiling
Revenue,119.6
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Southside
Revenue,254.15
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Tolono
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Walker Valley
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Wasco
Revenue,14.95
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Gift Store
City,Wray
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Absecon
Revenue,104.65
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Accomac
Revenue,89.7
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Aceitunas
Revenue,59.8
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Akhiok
Revenue,134.55
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Alcester
Revenue,89.7
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Amado
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Amanda Park
Revenue,74.75
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Antares
Revenue,149.5
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Antonito
Revenue,59.8
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Arbor Vitae
Revenue,74.75
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Arietta
Revenue,224.25
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
Customer Category,Novelty Shop
City,Armstrong Creek
Revenue,44.85
Date,2018 Jan
Color,Black
Supplier Category,Novelty Goods Supplier
Supplier Name,Graphic Design Institute
